Date,City,Team1,Team2,Venue,Winner
2015-04-11,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore
2015-04-12,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals
2015-04-12,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab
2015-04-13,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad
2015-04-14,Ahmedabad,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Rajasthan Royals
2015-04-30,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders
2015-04-15,Pune,Kings XI Punjab,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils
2015-04-16,Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals
2015-04-17,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2015-04-18,Visakhapatnam,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils
2015-04-18,Pune,Kings XI Punjab,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
2015-04-19,Ahmedabad,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals
2015-04-19,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2015-04-20,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders
2015-04-21,Ahmedabad,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera",No Result
2015-04-22,Visakhapatnam,Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
2015-04-22,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings
2015-04-23,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils
2015-04-24,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Royal Challengers Bangalore
2015-04-25,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians
2015-04-25,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2015-04-26,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore
2015-04-27,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad
2015-05-07,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2015-04-29,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,No Result
2015-04-28,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2015-05-01,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils
2015-05-01,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians
2015-05-02,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore
2015-05-02,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2015-05-03,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
2015-05-03,Mumbai,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,Rajasthan Royals
2015-05-04,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2015-05-04,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders
2015-05-05,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians
2015-05-06,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore
2015-05-07,Mumbai,Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,Sunrisers Hyderabad
2015-05-08,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
2015-05-09,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2015-05-09,Raipur,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad
2015-05-10,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore
2015-05-10,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2015-05-11,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2015-05-12,Raipur,Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
2015-05-13,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2015-05-14,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2015-05-15,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
2015-05-16,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
2015-05-16,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Brabourne Stadium,Rajasthan Royals
2015-05-17,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,No Result
2015-05-17,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
2015-05-19,Mumbai,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai Indians
2015-05-20,Pune,Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore
2015-05-22,Ranchi,Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings
2015-05-24,Kolkata,Mumbai Indians,Chennai Super Kings,Eden Gardens,Mumbai Indians
2016-04-09,Mumbai,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,Rising Pune Supergiants
2016-04-10,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2016-04-11,Chandigarh,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions
2016-04-12,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Royal Challengers Bangalore
2016-04-13,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2016-04-14,Rajkot,Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Gujarat Lions
2016-04-15,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils
2016-04-16,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
2016-04-16,Mumbai,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Gujarat Lions
2016-04-17,Chandigarh,Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
2016-04-17,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils
2016-04-18,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2016-04-19,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders
2016-04-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians
2016-04-21,Rajkot,Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad
2016-04-22,Pune,Rising Pune Supergiants,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore
2016-04-23,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils
2016-04-23,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2016-04-24,Rajkot,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Gujarat Lions
2016-04-24,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
2016-04-25,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians
2016-04-26,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants
2016-04-27,Delhi,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Gujarat Lions
2016-04-28,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2016-04-29,Pune,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium,Gujarat Lions
2016-04-30,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils
2016-04-30,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2016-05-01,Rajkot,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab
2016-05-01,Pune,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians
2016-05-02,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders
2016-05-03,Rajkot,Gujarat Lions,Delhi Daredevils,Saurashtra Cricket Association Stadium,Delhi Daredevils
2016-05-04,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2016-05-05,Delhi,Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla,Rising Pune Supergiants
2016-05-06,Hyderabad,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2016-05-07,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadium,Royal Challengers Bangalore
2016-05-07,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
2016-05-08,Visakhapatnam,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
2016-05-08,Kolkata,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions
2016-05-09,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore
2016-05-10,Visakhapatnam,Rising Pune Supergiants,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
2016-05-11,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2016-05-12,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
2016-05-13,Visakhapatnam,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab
2016-05-14,Bangalore,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Royal Challengers Bangalore
2016-05-14,Kolkata,Kolkata Knight Riders,Rising Pune Supergiants,Eden Gardens,Kolkata Knight Riders
2016-05-15,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad
2016-05-15,Visakhapatnam,Mumbai Indians,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
2016-05-16,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore
2016-05-17,Visakhapatnam,Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
2016-05-18,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore
2016-05-19,Kanpur,Gujarat Lions,Kolkata Knight Riders,Green Park,Gujarat Lions
2016-05-20,Raipur,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
2016-05-21,Visakhapatnam,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
2016-05-21,Kanpur,Gujarat Lions,Mumbai Indians,Green Park,Gujarat Lions
2016-05-22,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders
2016-05-22,Raipur,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore
2016-05-24,Bangalore,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore
2016-05-25,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,Sunrisers Hyderabad
2016-05-27,Delhi,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad
2016-05-29,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad
